"","translatedText","detectedSourceLanguage","text"
"23370","Shad Roe & Bacon","en","Shad Roe & Bacon"
"23371","Cabinet Pudding, Cream Sauce","en","Cabinet Pudding, Cream Sauce"
"23372","Guiness Extra","en","Guiness Extra"
"23373","Lamb Chops Breaded w Tom. Sauce","en","Lamb Chops Breaded w Tom. Sauce"
"23374","Strawberry ice-cream","en","Strawberry ice-cream"
"23375","Domino pastry","en","Domino pastry"
"23376","Chicken Liver Omelette and Peas","en","Chicken Liver Omelette and Peas"
"23377","Talmouses au Citron","el","Talmouses au Citron"
"23378","Roessle","en","Roessle"
"23379","Cheese and Cracker","en","Cheese and Cracker"
"23380","N.Y. Baked Beans & Pork w Ham","en","N.Y. Baked Beans & Pork w Ham"
"23381","Paulding's","en","Paulding's"
"23382","N.Y. Baked Beans & Pork w C. Beef","en","N.Y. Baked Beans & Pork w C. Beef"
"23383","Prime Rib of Beef, Extra Cut","en","Prime Rib of Beef, Extra Cut"
"23384","Prime Rib of Beef, Special Cut","en","Prime Rib of Beef, Special Cut"
"23385","Graham's London Dock","sv","Graham's London Dock"
"23386","Chartreuse, Yellow or Green","en","Chartreuse, Yellow or Green"
"23387","Blue Points on the Shell, Half-Dozen","en","Blue Points on the Shell, Half-Dozen"
"23388","Old London Dock, White","en","Old London Dock, White"
"23389","ALES AND LIQUORS","en","ALES AND LIQUORS"
"23390","Gin, Holland, Old Tom or Plymouth","en","Gin, Holland, Old Tom or Plymouth"
"23391","Pickled Whitefish Saratoga Chips","en","Pickled Whitefish Saratoga Chips"
"23392","Scotch, (Glenlivet)","en","Scotch, (Glenlivet)"
"23393","Scotch, (Dewar's Extra)","en","Scotch, (Dewar's Extra)"
"23394","Scotch, (Wallace Special)","en","Scotch, (Wallace Special)"
"23395","Eggs, poached (3)","en","Eggs, poached (3)"
"23396","Eggs, poached (2)","en","Eggs, poached (2)"
"23397","American Rye Y.P.M.","en","American Rye Y.P.M."
"23398","Fricasse of Lamb, French Peas","en","Fricasse of Lamb, French Peas"
"23399","Guinness's Stout Dog's Head Brand","en","Guinness's Stout Dog's Head Brand"
"23400","Miles' India Pale Ale","fr","Miles' India Pale Ale"
"23401","Boiled Philadelphia Capon Oyster Sauce","en","Boiled Philadelphia Capon Oyster Sauce"
"23402","Moselle, Still, ""Josefshofer""","en","Moselle, Still, ""Josefshofer"""
"23403","BOILED BEECHNUT HAM, CHAMPAGNE SAUCE","en","BOILED BEECHNUT HAM, CHAMPAGNE SAUCE"
"23404","ORANGE FRITTERS, WINE SAUCE","en","ORANGE FRITTERS, WINE SAUCE"
"23405","Eggs, Poached on toast (2)","en","Eggs, Poached on toast (2)"
"23406","Moselle, Still, Zeltinger","en","Moselle, Still, Zeltinger"
"23407","Wood's Pippin Cider","en","Wood's Pippin Cider"
"23408","CHICKEN MULLAGATAWNY","en","CHICKEN MULLAGATAWNY"
"23409","Dr. Brown's Sarsparilla","en","Dr. Brown's Sarsparilla"
"23410","STUFFED CRABS, DIABLE","en","STUFFED CRABS, DIABLE"
"23411","Calves Sweet Breads Breaded Tomato Sauce","en","Calves Sweet Breads Breaded Tomato Sauce"
"23412","CALF'S FEET, VINAIGRETTE","en","CALF'S FEET, VINAIGRETTE"
"23413","Lemon Soda or Sarsaparilla","en","Lemon Soda or Sarsaparilla"
"23414","FRENCH PANCAKES, CELESTINE","en","FRENCH PANCAKES, CELESTINE"
"23415","Hock, Still, Rudesheimer and Hochheimer","en","Hock, Still, Rudesheimer and Hochheimer"
"23416","Miles' cream ale on draught","en","Miles' cream ale on draught"
"23417","APPLE TAPIOCA, CREAM SAUCE","en","APPLE TAPIOCA, CREAM SAUCE"
"23418","Eggs a la Menagere","it","Eggs a la Menagere"
"23419","Eggs a la Jefferson","en","Eggs a la Jefferson"
"23420","CAPON, HERB STUFFING","en","CAPON, HERB STUFFING"
"23421","Brandy, 1850","en","Brandy, 1850"
"23422","BEET SALAD","en","BEET SALAD"
"23423","""Real Thing"" Anderson's Scotch Highball","en","""Real Thing"" Anderson's Scotch Highball"
"23424","American, Fine Vintage, Claret","en","American, Fine Vintage, Claret"
"23425","Eggs a la Netherland","en","Eggs a la Netherland"
"23426","CONGRESS PUDDING, FRUIT SAUCE","en","CONGRESS PUDDING, FRUIT SAUCE"
"23427","American, Ordinary","fr","American, Ordinaire"
"23428","Consumed cup","fr","Consommé cup"
"23429","Brandy, Gold Seal, 1820","en","Brandy, Gold Seal, 1820"
"23430","American, Sauterne","en","American, Sauterne"
"23431","Eggs, chicken livers","en","Eggs, chicken livers"
"23432","Bordeaux, Cos d'Estournel, 1881, Vintage, Red","en","Bordeaux, Cos d'Estournel, 1881, Vintage, Red"
"23433","Eggs, fines herbes","en","Eggs, fines herbes"
"23434","Veal fricassee with asparagus tips","en","Veal fricassee with asparagus tips"
"23435","Bordeaux, Larose 1881 Vintage, Red","en","Bordeaux, Larose 1881 Vintage, Red"
"23436","Scotch, King William","en","Scotch, King William"
"23437","Porridge & Cream","en","Porridge & Cream"
"23438","Bordeaux, St. Julien, 1889 Vintage, Red","en","Bordeaux, St. Julien, 1889 Vintage, Red"
"23439","Home Made Sulze, Sauce Viniagrette","en","Home Made Sulze, Sauce Viniagrette"
"23440","Cook's Imperial (American)","en","Cook's Imperial (American)"
"23441","Rüdesheimer, Carl Acker","de","Rüdesheimer, Carl Acker"
"23442","Pig ribs in jelly a la Terrace","de","Schweinsripphen in Gelee a la Terrace"
"23443","Omelette with smoked beef","en","Omelette with smoked beef"
"23444","Laubenheimer, Carl Acker","de","Laubenheimer, Carl Acker"
"23445","Hamburg tea rolls","en","Hamburg tea rolls"
"23446","Omelette with oyster crabs","en","Omelette with oyster crabs"
"23447","Milk Punch, 1820 Brandy","en","Milk Punch, 1820 Brandy"
"23448","Omelette with fresh mushrooms","en","Omelette with fresh mushrooms"
"23449","Consumme Brunoise","en","Consumme Brunoise"
"23450","Cream Ale","cs","Cream Ale"
"23451","Appetit Broedehen a la Terrace [Sandwich]","nl","Appetit Broedehen a la Terrace [Sandwich]"
"23452","Bass's Ale on Draught","en","Bass's Ale on Draught"
"23453","Brandy, Otard, Drink","en","Brandy, Otard, Drink"
"23454","Porter on Draught","en","Porter on Draught"
"23455","Bass Ale, White Label, Bottle","en","Bass Ale, White Label, Bottle"
"23456","Chambertin, Jules Regnier & Co.","en","Chambertin, Jules Regnier & Co."
"23457","Dewar's Scotch Whiskey, Drink","en","Dewar's Scotch Whiskey, Drink"
"23458","Bourbon, Drink","en","Bourbon, Drink"
"23459","Roast Veal Sandwich","en","Roast Veal Sandwich"
"23460","Cocktails, Whiskey, Drink","en","Cocktails, Whiskey, Drink"
"23461","Old Tom Gin, Drink","en","Old Tom Gin, Drink"
"23462","Cocktails, Gin, Drink","en","Cocktails, Gin, Drink"
"23463","Oysyers, roast on toast","en","Oysyers, roast on toast"
"23464","Salmon Sandwich","en","Salmon Sandwich"
"23465","Cocktails, Martini, Drink","en","Cocktails, Martini, Drink"
"23466","Bass Ale, Dog's Head, Bottle","en","Bass Ale, Dog's Head, Bottle"
"23467","Rye Whiskey, Drink","en","Rye Whiskey, Drink"
"23468","Panfish, Meuniere German fried potatoes","en","Panfish, Meuniere German fried potatoes"
"23469","Guinness's Dublin Porter, Bottle","en","Guinness's Dublin Porter, Bottle"
"23470","Cocktails, Manhattan, Drink","en","Cocktails, Manhattan, Drink"
"23471","Lamb Chops ala Imperial","en","Lamb Chops ala Imperial"
"23472","Belfast Ginger Ale, Bottle","en","Belfast Ginger Ale, Bottle"
"23473","Duchess soup","de","Herzogin-Suppe"
"23474","Sole cuts, Norman style","de","Seezungenschnitten, normannische Art"
"23475","Sirloin, pepper sauce","de","Rehrucken, Pfeffersauce"
"23476","Westphalian Ham Sandwich","en","Westphalian Ham Sandwich"
"23477","Broiler chickens to St. Cloud","de","Masthuhner nach St. Cloud"
"23478","Manuel Garcia, Perfect","es","Manuel Garcia, Perfectos"
"23479","Fresh lobster in jelly","de","Frische Hummer in Gallert"
"23480","Oysters, a la Pompadour","en","Oysters, a la Pompadour"
"23481","Maratella Perfect","es","Maratella Perfectos"
"23482","Delatour Soda, Bottle","en","Delatour Soda, Bottle"
"23483","Young ducks, compote, lettuce","de","Junge Enten, Kompott, Salat"
"23484","Manual Garcia, Conchos Selectos","es","Manual Garcia, Conchos Selectos"
"23485","Oysters, a la Provencale","es","Oysters, a la Provencale"
"23486","Sublime Fame","es","La Fama Sublimes"
"23487","Neapolitan ice cream, hollow ribs","de","Neapolitanisches Rahmeis, Hohlhippchen"
"23488","Oysters, a la Netherland","en","Oysters, a la Netherland"
"23489","Boiled Ham Sandwich","en","Boiled Ham Sandwich"
"23490","Hathorn Water, Saratoga, Bottle","en","Hathorn Water, Saratoga, Bottle"
"23491","Apollinaris Water, Bottle","en","Apollinaris Water, Bottle"
"23492","Johannis Water, Bottle","en","Johannis Water, Bottle"
"23493","La Fama Bouquets","ca","La Fama Bouquets"
"23494","Poland Spring Water, still, Bottle","en","Poland Spring Water, still, Bottle"
"23495","Veal ragout","de","Kalbs-Ragout"
"23496","Noyan cream","fr","Creme de Noyan"
"23497","meatballs","de","Frikadellen"
"23498","Roquefort Cheese, with Crackers","en","Roquefort Cheese, with Crackers"
"23499","Greenway's Syracuse, India Pale Ale, Bottle","en","Greenway's Syracuse, India Pale Ale, Bottle"
"23500","Camembert Cheese, with Crackers","en","Camembert Cheese, with Crackers"
"23501","C. H. Evans & Son, Hudson, India Pale Ale, Bottle","en","C. H. Evans & Son, Hudson, India Pale Ale, Bottle"
"23502","Cervelat Sandwich","it","Cervelat Sandwich"
"23503","Pabst's Milwaukee Beer, Bottle","en","Pabst's Milwaukee Beer, Bottle"
"23504",""""" Milanese style","fr","""    ""    a la milanaise"
"23505","Anheuser-Busch Beer, St. Louis, Bottle","en","Anheuser-Busch Beer, St. Louis, Bottle"
"23506","Lemp's St. Louis Beer, Bottle","en","Lemp's St. Louis Beer, Bottle"
"23507","Bartholomay Beer, Rochester, Bottle","en","Bartholomay Beer, Rochester, Bottle"
"23508","Lemonade, Glass","en","Lemonade, Glass"
"23509",""""" at the soubise","fr","""   ""    a la soubise"
"23510","Apenta Water, 1/2 pts.","el","Apenta Water, 1/2 pts."
"23511","Raw Meat Tartar Sandwich","en","Raw Meat Tartar Sandwich"
"23512","Richmond Straight Cuts Cigarettes","en","Richmond Straight Cuts Cigarettes"
"23513","Ruhr eggs with asparagus","de","Ruhr-Eier mit Spargel"
"23514",""""" to the chick","fr","""    ""   a la poulette"
"23515","Gebrl. Pegs","de","Gebrl. Heringe"
"23516","Spaguette au Gratin","fr","Spaguette au Gratin"
"23517","Nadine Egyptian Cigarettes","en","Nadine Egyptian Cigarettes"
"23518","Eggs with black butter","de","Eier mit schwarzer Butter"
"23519","Fricasee Chicken Mushroom","fr","Fricasee Chicken Champignon"
"23520","Brie Cheese Sandwich","en","Brie Cheese Sandwich"
"23521","Veal mince the Bavarian way","de","Kalbshacksen auf bairische Art"
"23522","Consume Bellevue, cup","fr","Consomme Bellevue, cup"
"23523","Pork fillet sauce Robert","de","Schweinsfilet Sauce Robert"
"23524","oatmeal mash","en","oatmeal mash"
"23525","Vichy, Seltzer, Kissingen and Carbonic Syphons","en","Vichy, Seltzer, Kissingen and Carbonic Syphons"
"23526","Roastbeef-Hache","nl","Roastbeef-Hache"
"23527","Curry Egg Rice","en","Curry Egg Rice"
"23528","""black butter brains","fr",""" brains au beurre noire"
"23529","""liver jumps Italian style","fr","""  liver saute a l'Italienne"
"23530","""    ""   fried with bacon","en","""    ""   fried with bacon"
"23531","Bavarian-style knuckle of veal","fr","Knuckle of veal à la Bavarian"
"23532","D.G. Yuengling, Jr.'s extra fine","en","D.G. Yuengling, Jr.'s extra fine"
"23533","American green turtle","fr","Green turtle a l'Americaine"
"23534","Fillet of pork, Sauce Robert","en","Fillet of pork, Sauce Robert"
"23535","Mutton chops, English (1)","en","Mutton chops, English (1)"
"23536","Puree Breton","fr","Puree Bretonne"
"23537","Chopped roast beef","fr","Roastbeef haché"
"23538","Half and Half","en","Half and Half"
"23539","Skin Bros. '","es","Piel Bros.'"
"23540","Veal Cutlets a la St Cloud","en","Veal Cutlets a la St Cloud"
"23541","Jos. Schlitz's Milwaukee","lb","Jos. Schlitz's Milwaukee"
"23542","Sally Lunds","sv","Sally Lunds"
"23543","Vegetable broth","de","Gemuse Kraftbruhe"
"23544","Anheuser-Busch St. Louis","en","Anheuser-Busch St. Louis"
"23545","Boiled cod","de","Gekochten Kabeljau"
"23546","Caper sauce","de","Kapern Sauce"
"23547","Imported Pschorr Brau","en","Imported Pschorr Brau"
"23548","Mushroom sauce","de","Pilz Sauce"
"23549","Glazed veal middles with truffles","de","Glasierte Kalbsmidder mit Truffeln"
"23550","English celery with ox pulp","de","Englischer Sellerie mit Ochsenmark"
"23551","Mirabelles","lb","Mirabellen"
"23552","Endivien-Salat","fr","Endivien-Salat"
"23553","Chocolate ice cream","da","Chokoladen-Eis"
"23554","Tomato soup with rice","de","Tomaten Suppe mit Reis"
"23555","[Coffee] Pot for two","en","[Coffee] Pot for two"
"23556","Vanilla, strawberry or chocolate ice cream","en","Vanilla, strawberry or chocolate ice cream"
"23557","Consumed with julienne","fr","Consomme a la julienne"
"23558","Tomato soup with rice","en","Tomato soup with rice"
"23559","Boiled codfish","en","Boiled codfish"
"23560","Beefbroth","en","Beefbroth"
"23561","Mutton chop, Russian style","de","Hammelkotelette, russische Art"
"23562","English string beans","fr","String beans a l'anglaise"
"23563","Mutton chops a la russe","en","Mutton chops a la russe"
"23564","Baked apple, whipped cream","de","Bratapfel, Schlagsahne"
"23565","Baked apples, Whipped cream","en","Baked apples, Whipped cream"
"23566","Glazed sweet bread with truffles","en","Glazed sweet bread with truffles"
"23567","Broiled shad with roe","en","Broiled shad with roe"
"23568","English celery with beef marrow","en","English celery with beef marrow"
"23569","Mutton pilaff","de","Pilaff von Hammelfleisch"
"23570","Plum and prunelle compote","de","Pflaumen- und Prunellen-Kompott"
"23571","Stewed prunes, prunelloes","en","Stewed prunes, prunelloes"
"23572","Entrecote","fr","Entre-cote"
"23573","Cream cuts","de","Creme Schnitte"
"23574","Chocolate ice-cream","en","Chocolate ice-cream"
"23575","French fries","fr","Pommes-frites"
"23576","New figs","en","New figs"
"23577","Brechbohnen","en","Brechbohnen"
"23578","Gingerbread","en","Gingerbread"
"23579","Pilaff of Mutton","en","Pilaff of Mutton"
"23580","Grilled filet mignon, Montebello","fr","Filet mignon grille, Montebello"
"23581","Escalopes of veal larded, Marashal","en","Escalopes of veal larded, Marashal"
"23582","Broiled salmon steak with anchovy butter","en","Broiled salmon steak with anchovy butter"
"23583","boiled halibut, cream sauce","en","boiled halibut, cream sauce"
"23584","Baked shad, port wine sauce","en","Baked shad, port wine sauce"
"23585","Chicken & Asparagus","en","Chicken & Asparagus"
"23586","Fried sea bass with butter","fr","Fried sea bass au beurre"
"23587","Raspberry Sorbet","en","Raspberry Sorbet"
"23588","Stuffed lobster in shell","en","Stuffed lobster in shell"
"23589","Beef embers, Flemish","fr","Beef braise, Flamande"
"23590","Edam, Roquefort and Camembert cheese","en","Edam, Roquefort and Camembert cheese"
"23591","Timbale of salmon, Aurora sauce","fr","Timbale of salmon, sauce Aurore"
"23592","Coffee, pot with cream","en","Coffee, pot with cream"
"23593","Cream of spinach soup","en","Cream of spinach soup"
"23594","French broth","fr","Bouillon frances"
"23595","Ragout of Mutton Parisian Style","en","Ragout of Mutton Parisian Style"
"23596","Filet Mignon a la Bordelaise","fr","Filet Mignon a la Bordelaise"
"23597","English Ox Tail","fr","Ox Tail Anglaise"
"23598","Broiled mackerel to the maitre d'hotel","fr","Broiled mackerel a la maitre d'hotel"
"23599","Turtle Imitation","es","Imitacion de Tortuga"
"23600","Apple Parsley","fr","Pomme Persilade"
"23601","Vegetables","es","Legumbres"
"23602","Calf's head poile, piquant sauce","en","Calf's head poile, piquant sauce"
"23603","Chicken patties, club style","en","Chicken patties, club style"
"23604","Snipe on toast","de","Schnepfen auf Toast"
"23605","Portuguese Braised Fillet of Beef","fr","Braised fillet of beef a la Portugaise"
"23606","Cauliflower creme au gratin","de","Blumenkohl creme au gratin"
"23607","Seafood broth","es","Caldo de Marisco"
"23608","Sweet potato glace","en","Sweet potato glace"
"23609","Chicken saute, Jager style","de","Huhn saute, Jager Art"
"23610","Field guard soup","de","Feldwachter Suppe"
"23611","Artichokes, sauce vinaigrette","en","Artichokes, sauce vinaigrette"
"23612","Small filet of beef, Portugaise","en","Small filet of beef, Portugaise"
"23613","Broiled breast of lamb, Jardiniere","en","Broiled breast of lamb, Jardiniere"
"23614","Fried sweetbread, cream sauce","en","Fried sweetbread, cream sauce"
"23615","Snipe sauté with olives","fr","Snipe saute aux olives"
"23616","Walnut ice cream","en","Walnut ice cream"
"23617","Rostbraten au jus","sv","Rostbraten au jus"
"23618","Boston, Burnham and Morrill beans (hot or cold)","es","Frijoles a la Boston, de Burnham y Morrill (frios o calientes)"
"23619","Potatoes fondante","de","Kartoffeln fondante"
"23620","Green beans","de","Prinzessbohnen"
"23621","Country guard soup","fr","Potage du garde champetre"
"23622","Consume with vermicelli","fr","Consomme aux vermicelles"
"23623","Fillet of striped bass a la normande","en","Fillet of striped bass a la normande"
"23624","Puree of vegetables with croutons","fr","Puree of vegetables aux croutons"
"23625","Fondant potatoes","fr","Potatoes fondante"
"23626","Wiener schnitzel, anchovies","de","Wiener Schnitzel, Sardellen"
"23627","Princess beans","en","Princess beans"
"23628","Chicken jumps to the hunter","fr","Chicken saute a la chasseur"
"23629","Cauliflower gratin cream","fr","Cauliflower creme au gratin"
"23630","Souffle of strawberries","en","Souffle of strawberries"
"23631","Vanilla and Pistachio ice cream","en","Vanilla and Pistachio ice cream"
"23632","Kentucky How Cake","nl","Kentucky Hoe Cake"
"23633","Roast Pork.","en","Roast Pork."
"23634","Lamb Chops & Peas","en","Lamb Chops & Peas"
"23635","Raspberry roll","en","Raspberry roll"
"23636","Chickens salads","en","Chickens salads"
"23637","Macaroons, Dutch","fr","Macaroons, Hollandaise"
"23638","Parsnips.","en","Parsnips."
"23639","Jellied Cranberries","en","Jellied Cranberries"
"23640","Toasted Corn Flakes","en","Toasted Corn Flakes"
"23641","Beekfsteak","eu","Beekfsteak"
"23642","Plum Pudding.","en","Plum Pudding."
"23643","Force","en","Force"
"23644","Veal Kindeys, Broiled","en","Veal Kindeys, Broiled"
"23645","Puffed rice","en","Puffed rice"
"23646","Kidneys with fine herbs","de","Nieren mit feinen Krauten"
"23647","Chicken Bouillon in cups","en","Chicken Bouillon in cups"
"23648","Kassel rib spear","de","Kasseler Rippespeer"
"23649","Bratwurst with Saurkraut","en","Bratwurst with Saurkraut"
"23650","Green Turtle, English style","fr","Green Turtle, al' Anglaise"
"23651","Frankfurter sausage","de","Frankfurter Wurst"
"23652","Consume Colbert Royal","fr","Consomme Colbert Royal"
"23653","Carre of pork, Cassel style","en","Carre of pork, Cassel style"
"23654","fried tom cod, tartar sauce","en","fried tom cod, tartar sauce"
"23655","Petit Bouchee, Reine Hortense","fr","Petit Bouchee, Reine Hortense"
"23656","Francf. sausage","fr","Francf. sausage"
"23657","Biscuits.","en","Biscuits."
"23658","Boiled Kennebec Salmon, Sauce Rougemont","en","Boiled Kennebec Salmon, Sauce Rougemont"
"23659","Mashed peas","en","Mashed peas"
"23660","Boiled Capon, Concombie Chicken","fr","Boiled Capon, Concombie Poulette"
"23661","Imported frankfurter Sauerkraut or Salad","en","Imported frankfurter Sauerkraut or Salad"
"23662","Turkey cutlets with mushrooms","fr","Turkey cutlets aux champignons"
"23663","Filet of Beef Pique, a la Godard","en","Filet of Beef Pique, a la Godard"
"23664","Sweetbreads Glace, Puree d' Asperges","en","Sweetbreads Glace, Puree d' Asperges"
"23665","Fried Spring Chicken with Creme Gravy","en","Fried Spring Chicken with Creme Gravy"
"23666","Croquette of Crab Meat, a la Niblos","en","Croquette of Crab Meat, a la Niblos"
"23667","Pancake Timbale, Parisian style","fr","Pancake Timbale, a la Parisienne"
"23668","Smoked eel","de","Geraucherter Aals"
"23669","Rhine salmon","de","Rheinlachs"
"23670","Rhine salmon","en","Rhine salmon"
"23671","Rollmopse","en","Rollmopse"
"23672","Chocoladen Rahmeis","fr","Chocoladen Rahmeis"
"23673","Cream of Vegetables, Ranhofer","en","Cream of Vegetables, Ranhofer"
"23674","Rolled herrings","en","Rolled herrings"
"23675","Berlin cake","de","Berliner Kuchen"
"23676","Consomme with Sago","en","Consomme with Sago"
"23677","Boiled Fowl, Egg Sauce","en","Boiled Fowl, Egg Sauce"
"23678","Smoked Westphalia ham","en","Smoked Westphalia ham"
"23679","Baked Sand Bass, Villeroy","en","Baked Sand Bass, Villeroy"
"23680","Turkey Cutlets, with Mushrooms","en","Turkey Cutlets, with Mushrooms"
"23681","Polish Salad","fr","Salad Polonaise"
"23682","Ravigote sauce","fr","Sauce ravigote"
"23683","Pineapple Custard Pie","en","Pineapple Custard Pie"
"23684","Whipped Cream, on Cash","fr","Whipped Cream, en Caisse"
"23685","Valencienne chops","lb","Koteletten valencienne"
"23686","Lamb fillet according to the Josephine","de","Lammfilet nach der Josephine"
"23687","Valencian cutlets","fr","Cutlets a la valencienne"
"23688","Beefsteak-Minced","fr","Beefsteak-Haché"
"23689","Fillet of lamb a la Josephine","en","Fillet of lamb a la Josephine"
"23690","Beefsteak hash","en","Beefsteak hash"
"23691","Celestine Pudding Souffle, Madeira Sauce","fr","Celestine Pudding Souffle, Sauce Madere"
"23692","Strassburg goose liver pie","en","Strassburg goose liver pie"
"23693","Pigeons with pearl onions and olives","de","Tauben mit Perlzwiebeln und Oliven"
"23694","Frankfurt sausage","fr","Francfort sausage"
"23695","Micked pickles","en","Micked pickles"
"23696","Venice Cake","fr","Gateau Venice"
"23697","Lady Kisses","en","Lady Kisses"
"23698","Fried Kingfish a l'Orly","en","Fried Kingfish a l'Orly"
"23699","Gardener Biscuit","fr","Biscuit Jardinier"
"23700","Chops after Pojarsky","lb","Koteletten nach Pojarsky"
"23701","Pancakes, royal style","de","Eierkuchen, königliche Art"
"23702","Yourshire ham and bacon","en","Yourshire ham and bacon"
"23703","Red beets salad","en","Red beets salad"
"23704","Scrambled eggs with morels","de","Rührei mit Morcheln"
"23705","Omelet a la royale","fr","Omelet a la royale"
"23706","Small Pate of Sweetbreads, Toulouse","en","Small Pate of Sweetbreads, Toulouse"
"23707","Scrambled eggs with morrels","af","Scrambled eggs with morrels"
"23708","Raspberry Roll, Nature","en","Raspberry Roll, Nature"
"23709","Roast Gosling, Club House Dressing, Guava Jelly","en","Roast Gosling, Club House Dressing, Guava Jelly"
"23710","Eggs with fine herbs","de","Eier mit feinen Kräutern"
"23711","Eggs with fine herbs","en","Eggs with fine herbs"
"23712","Roast Loin of Pork, Currant Jelly","en","Roast Loin of Pork, Currant Jelly"
"23713","Edam and cream cheese","de","Edamer und Rahm Käse"
"23714","Dutch & Cream cheese","en","Dutch & Cream cheese"
"23715","Desclignac","en","Desclignac"
"23716","Muilet a la Chesterfield","en","Muilet a la Chesterfield"
"23717","Milk bread","de","Milchbrod"
"23718","Veal croquettes with mushrooms","fr","Croquettes de Veau aux Champignons"
"23719","rothe Bearner Sauce","en","rothe Bearner Sauce"
"23720","baked egg plants","de","gebackene Eierpflanzen"
"23721","Chicken Saute, Oyster Sauce","en","Chicken Saute, Oyster Sauce"
"23722","Pompano the Louisiana way","de","Pompano auf Louisianaer Art"
"23723","Curried Prawns & Rice, Bombay Duck","en","Curried Prawns & Rice, Bombay Duck"
"23724","New York Counts half doz","en","New York Counts half doz"
"23725","Yonug Goose, Stuffed, Sage & Onions","en","Yonug Goose, Stuffed, Sage & Onions"
"23726","Selexts, per half doz","en","Selexts, per half doz"
"23727","Barley slime soup the royal way","de","Graupenschleim Suppe auf konigliche Art"
"23728","Loin of Pork with Baked Apples","en","Loin of Pork with Baked Apples"
"23729","New Zealand Ham, Green Corn","en","New Zealand Ham, Green Corn"
"23730","Corned Pork and Parsnips","en","Corned Pork and Parsnips"
"23731","Sarsaparilla Soda","en","Sarsaparilla Soda"
"23732","Cold Smoked Tounge","en","Cold Smoked Tounge"
"23733","Gelee [think marmalade, jelly, and ginger are separate]","en","Gelee [think marmalade, jelly, and ginger are separate]"
"23734","Royal barley cream soup","fr","Potage creme d'orge a la royale"
"23735","Pillow rye","de","Kissengen"
"23736","Pompano in la louisiannaise","it","Pompano a la louisiannaise"
"23737","Boiled Fish Parsley Sauce","en","Boiled Fish Parsley Sauce"
"23738","Princess Pudding, Fruit Sauce","fr","Princess Pudding, Sauce aux Fruits"
"23739","Chicken & Ham Patties","en","Chicken & Ham Patties"
"23740","Red bearnaise sauce","fr","Sauce bearnaise rouge"
"23741","Ox tail stew","fr","Ragoût Ox tail"
"23742","Fried egg-plants","en","Fried egg-plants"
"23743","Cut asparagus","en","Cut asparagus"
"23744","Cherry Tartlets","en","Cherry Tartlets"
"23745","Roast Mutton Mint Sauce","en","Roast Mutton Mint Sauce"
"23746","Cutlets in the Pojarsky","ca","Cutlets a la Pojarsky"
"23747","Small Pastry & Cake Assorted","en","Small Pastry & Cake Assorted"
"23748","Crapaudine squabs","fr","Squabs a la crapaudine"
"23749","Racine","bs","Rasins"
"23750","Californian","en","Californian"
"23751","Bromo Pepsin","id","Bromo Pepsin"
"23752","Stelton","da","Stelton"
"23753","Bass & Co's White Label per bottle","en","Bass & Co's White Label per bottle"
"23754","Roast Beef & Potatos","en","Roast Beef & Potatos"
"23755","Bass & Co's Burke's Bottling","en","Bass & Co's Burke's Bottling"
"23756","Breath a la Palphy","fr","Souffle a la Palphy"
"23757","Bass & Co's Dog's Head","en","Bass & Co's Dog's Head"
"23758","Berlin cake","en","Berlin cake"
"23759","Mashed Spinach","en","Mashed Spinach"
"23760","McEwan's Scotch Ale","en","McEwan's Scotch Ale"
"23761","Vegetables, Hashed","en","Vegetables, Hashed"
"23762","Corned beef, Hashed","en","Corned beef, Hashed"
"23763","Jam Tart","hu","Jam Tart"
"23764","Lemp's Extra Pale","en","Lemp's Extra Pale"
"23765","Chicken, Hashed","en","Chicken, Hashed"
"23766","Roast Beef, Hashed","en","Roast Beef, Hashed"
"23767","Lemp's Falstaff","en","Lemp's Falstaff"
"23768","Lemp's Tip Top","en","Lemp's Tip Top"
"23769","Schlitz's Export Beer","de","Schlitz's Export Beer"
"23770","Seipp's Export Salvator","en","Seipp's Export Salvator"
"23771","Anheuser-Busch Malt Nutrine","hr","Anheuser-Busch Malt Nutrine"
"23772","Anheuser-Busch St. Louis Budw'ser","en","Anheuser-Busch St. Louis Budw'ser"
"23773","Culmbacher Imported Beer","en","Culmbacher Imported Beer"
"23774","Kaiser Imported Beer","en","Kaiser Imported Beer"
"23775","Blatz Export","en","Blatz Export"
"23776","Lobster Curry & Rice","en","Lobster Curry & Rice"
"23777","Blatz Private Stock","en","Blatz Private Stock"
"23778","Chocolate cream w / whipped cream","de","Chocoladen Creme m/ Schlagsahne"
"23779","Formosa","pt","Formosa"
"23780","Schoenhoffens' Edelweisers Beer","de","Schoenhoffens' Edelweisers Beer"
"23781","McAvoy Extract Malt Marrow","en","McAvoy Extract Malt Marrow"
"23782","Silver Leaf Brand, Export Beer","en","Silver Leaf Brand, Export Beer"
"23783","Guiness' Stout, per bottle","en","Guiness' Stout, per bottle"
"23784","Ginger Ale, Imported C&C","en","Ginger Ale, Imported C&C"
"23785","Bass Ale on draught, per mug","en","Bass Ale on draught, per mug"
"23786","Besley's Ale on draught, per mug","en","Besley's Ale on draught, per mug"
"23787","Castle fountain Gerolstein Mineral Water","de","Schloss- Brunnen Gerolstein Mineral Water"
"23788","New England Champagne Cider","en","New England Champagne Cider"
